x,y,anchor(10.0 10.0)_rx_power,anchor(20.0 10.0)_rx_power,anchor(10.0 20.0)_rx_power,anchor(20.0 20.0)_rx_power
3.75,3.75,-43.01767156500217,-45.149010219679354,-45.23580157207293,-44.98916467963811
3.75,11.25,-41.371970675347484,-45.11748305570591,-43.870882239310305,-45.253600744311704
3.75,18.75,-43.77506454676903,-45.20542397395675,-41.38558119340437,-45.0909675090032
3.75,26.25,-45.207341705205124,-45.10006680914835,-42.996017613640525,-45.2305788114503
11.25,3.75,-41.38396681356311,-43.78297122887108,-45.09661319431088,-45.33473159116334
11.25,11.25,-31.1219623734542,-42.958961912088036,-43.07767716709081,-44.28627265769269
11.25,18.75,-43.05537232770357,-44.25231075932072,-31.07073860350409,-43.029222377699256
11.25,26.25,-45.10491293276417,-45.19870065377937,-41.36114163285799,-43.81420348878026
18.75,3.75,-43.81095187130621,-41.28553254075628,-45.26648368205693,-45.02783084821778
18.75,11.25,-43.005387049575624,-31.080218767416827,-44.36901597126852,-43.03523531671094
18.75,18.75,-44.280814307117296,-43.02728371806693,-43.036918625218995,-31.024610651910265
18.75,26.25,-45.28290102912831,-45.10437593591541,-43.77422185422826,-41.29841240545072
26.25,3.75,-45.2406844788579,-43.05561788528897,-45.01934421481558,-45.224327204306675
26.25,11.25,-45.068895766132485,-41.43536233461982,-45.23362528071578,-43.80299673939901
26.25,18.75,-45.28779389045285,-43.782864767235594,-45.07558326918929,-41.35385369405436
26.25,26.25,-45.113916471762806,-45.212831882529166,-45.176226465549284,-42.965968810832734
